,id,comment_text,obscene
6396,111981274d2ff1da, o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e ou a e a o know you e au e,1
31304,531d1432a5ceadf1, ine ine arter age sucks anyway,1
127180,a82f80c9536c624c,pis of you son of a bitch,1
76315,cc510287a999ef9e, und asing my s eting aside the protypical psychotic paranoid ramblings and mumblings about the dangers of n oulter from the left wing kok above thought you umkopfser mean olar ystem xploration hysicistswould be encouraged to know how my plan has worked in forcing ikipedia to change e the link below htp wikipediaclasactionorg ours ruly ig ady ps told you it wasnt nice to be mean to ig ady,1
6999,12a54db2229184b3,u suck at making movies u pathetic gek ur premise is shaky ur outlok is bleak there isnt a to painful way for ur life to end u realy ned a girlfriend,1
95993,017527bf2c064b3e, ear ubie uck of you shiteatin ubie sonofabitch,1
5546,0ecec684c306238f,hey shithead quit fucking with al the ufc pages and go get a fucking life you god damn mother fucking loser,1
36052,6054c535f5827ba7, hat the hel just edited my entry you moron et your bot in order,1
104864,3109f3378130048d, he mods want people not to request al crapy stuf over and over again hats why they stickied it til its not a related project its a site that they linked and stickied ots of sites has ben linked in a sticky post and even if its not months it doesnt fucking count as a related project because its not run by eam chan the chan article is about chan nd like the other projects theyve are ben managed by eam chan ut pluschan has not ,1
16910,2ca28c457f9bf854,fxdh htp wbarenakedislamcom wpcontent uploads ive eakdotcomehusbykravalerlitenjpgresizedjpg f they lok wedish to you youre fucking blind,1
75683,ca7ddea59db49f31,amide man fuck you and your truce this si war muthafucker,1
76140,cbd0f3db76132b14, ure l listen to a fag o suck a dick or something aybe you and riginalsiner should get together hear he likes to take up the as dry just like you,1
125745,a0acc41a0bf7b961, ncidentaly s rules about uploading images suck,1
96572,04831f2f93a2fc1d, ou are realy a stupid fuck if you dont even know your teams history ilmaz okdel was a real alatasarayli and he coached galatasaray in the seventies your list says okdel was never coach thats not coret okdel was suceded by on awe that means that okdel started of as coach of the he even won a up with alatasaray taturk up,1
12355,20c00fe19c57e54e, diot just wanted to let you know that you and lbert square are doing an awful job with eastenders characters ful siblings have completely diferent family layouts than each other some characters are on a relatives info box and when you click on that character the character before isnt on their info box ust wanted to let you know that you are ruining ikipedia for everyone else that is al,1
137648,e08dcb39b9404d18,you are an idiot i am but you are an ,1
120936,870c65f263fecdb9, m just glad that that jackas is done maybe there can be real progres on the article now rather than bulshit about how adam never fowgot the instability which to torture and mutilate the hia and urdish populace t was for unity ar ,1
57758,9a9114fba009e4ff, apanese astard uck of you evil race,1
75452,c9d6159a7e7214e6,x otherfucker didnt ad that information bitch so you best lose your atitude mother fucker,1
148650,4fdf8a0306c866d1, ok you moron if the series is hen gues whats the series is nd as stated here in one of the discusion in this page agre with hristopher homas below regarding unclarified sources for this article pecificaly take isue with the entire iferences betwen the and series section because contend that there is no such thing as a tan inston tudios which designed the terminators for the films confirmed this to me via email when wrote to them asking their opinion heir response direct quote m not sure where the came from s far as know rnolds erminator has and always wil be the model ow the robot erminators in are s and ristana oken is the hope that clears it up hile the term is somewhat widespread on the internet even extending to related merchandise such as action figures its origin is to my mind something of a mystery ich tan inston the erminator and he says its ow shut the fuck up and change it back you idiot ,1
69853,bada7fd459b4feb2, ef likes to rape goats while ilegal aliens choke him and shove broken glas in his as,1
32105,554d2fb4a4861445, his is geting fucking redicilous ,1
97907,0bc4538ede32a9b2, ovember lyer wel youre just a knowital arent you m tired of this debate with you and m tired of you highandmighty types runing ikipedia o suck on a dick hope you die should say thanks for the proxy hint ow l be a thorn in your side forever constantly coming back every time m blocked and registering as a new user however many times ned to iaz ,1
146023,25b33aae03cf430c, elo you gajin cocksmoching piece of shit how is your me so horny mom and alcoholic dad doin had ryant ,1
5886,0fbbc798efd81331, so go suck some random as fuckers cock before i vandalize your entire site ,1
103565,2a228640806a4882, cording to the bulshit proportionality nonsense thrown around nobody should ever have won a war ertainly more apanese and ermans died than did the other side in same thing for he object of war is not to die for your country but to make the other bastard die for his aton ou launch rockets from a house or a schol expect the retaliatory strike to hit the schol ou atack someone using women and children as cover sory youre a rat bastard who put them in harms way and thats the end of it ead the fucking geneva conventions you are to hide among civilians amasholes spend their times ploting ways to hide behind civilians and then whine about the death rates its their fucking fault and enough with the bulshit ,1
25190,42a72abf931563ec, andi was born a andi wil never overcome being a he end,1
28911,4c97efc90a0346d1, his fucking user is trying to tel me that ustralian borigines are not constructive hat a fucking pusy cunt m sure this ashole is an inbred white albino defect o in a fucking cave and die ont tel me what to do,1
132358,c44768d7cf23cc14,yadavs are kshatriyas wht the hel hapend to previous stuf writen in the wiki which wel defined yadavsknow some anti yadavs have edited the stuf and aded whole new crapmentoning yadavs as shudras is funy shitsome fuckin moron must hv done this,1
82627,dd05193420886eb3, wat ont bother with the in the future please ,1
41872,6fb4b5f1575c74b9, itler is an ashole,1
93037,f8bd2f46a35b036c, ude get a fucking life you quer get a real paying job instead of ewiki policing around you year old piece of shite and your mom said to make your bed,1
51006,886a04aa5fbdb71f, arnings you ashole gave me mutiple warnings for the same thing and now im on my final warning hate you peice of shit urn in hel,1
50253,8655352e06613962,fuck of jack ,1
10892,1cc84b340259d6c6, orever,1
114133,629a10ce1e53e6ef, ou can suck my dick you fat fucking loser et a life ashole,1
99337,1360ae9d9e14a627, uck you ,1
133849,cc11cf66295f62a5, emoved the statement t would be obvious from the specifics mentioned that have read the article o in response to your blatant insult fuck you to,1
148277,4994906a79666f98,fuck you you ashole i edit what i wana edit whateva i do what i want,1
138099,e303881c6de114ee,you guys suck apy alentines ay user ronholds ulu and live siting on the tre kising,1
127201,a849867f41e6c49b, hat kind of idiots are you o not delete that page or kick your ashole motherfucker ,1
16388,2b315d5c360f2f84, hatever dude uck of,1
971,02a98267cd4a2a73, u ck ing trolreasons,1
156726,d2b6ebce0790c683, ,1
16002,2a370b09af6ce712, ucked our om ast ight t elt wsome stuck y dick in her mouth and in her pusy she let me lick her tits and fuck her al night long is what i was screaming,1
4671,0c5eb26205c4aa49, enis id you sex with rawp enis enis agina agina,1
104454,2ed435e4f4bcdbc2,what hapened to fre spech et a ucking life what hapend to fre spech f you new about r od you know it was his idea that gave one of the best folk groups a chance nd for him to fulfil a pasion for poetry that why bastards like me tok the uen shiling not for our fucking gramar skils so stop and sit on your hands idnt your mothers tel you to share your toys and play nice or was she giving me a fucking blow job at the time,1
84114,e10f46500b0b4221, n the contrary did f you had continued reading instead of simply deleting that with ofended you you would have sen that wrote about how the quote was folowed by critisism and comedic atack ow is this not explaining m realy starting to get very amused at how fucking retarded you are,1
53291,8e728e8f319b4f93, is of you old timer go fuck yourself you evil ashole,1
34760,5cd5dd29b8f9a2d9, im scared you wrote on my page his is the only warning you wil receive for your disruptive edits f you vandalize ikipedia again as you did to ser talk raftyminion you wil be blocked from editing rafty talk f this is a shared adres and you didnt make the edit consider creating an acount for yourself so you can avoid further irelevant notices etrieved from htp enwikipediaorg wiki sertalk irst of and would obviously be the same person econdly if you read what said you would obviously know that do not therefore blocking me which is realy the only power you have in your life probably and it makes you fel like you have a big dick f you are fucking retarded you may ned to read that again and again slowly se a shared adres its my ut no i dont want a user name ,1
115666,6a93a3ae3438a710,you ned to fuck of and stop hrasing people,1
108756,457d3e82b6f8fa43, o head make my day o ahead and block me dam ar did the same to me ou and onghair can dispute as much as you guys like ou and al your politicaly motivated comies fascists lefties righties or as like to cal them pricks can al go to hel mon ou guys are the most biased ikiepdians in the world f ed ely was here he would say such an elife,1
4457,0bde154fa774bf72, ovember uck of our acusations are baseles your writing style is atrocious rose means prose not fluf ,1
144696,110fb5512efa4729, hy are you such a bit h busing your powers as administrator to silence oposing points of view as your grandady member or something it only takes a few days to make a new acount hers,1
69622,ba3d70d27b64707c,i dont lambs wikipedia sucks as pusy in the dick i dont give a pusy fuck about lambs bitch niger ashole cock retyc,1
137516,dfd7c667a62a4df3, esponse to your ersonal peal from imy ales esponse to your ersonal peal from imy ales o fuck yourself his place is a big shithole and youre the bigest shithead of them al ie in a fire you fagot,1
157384,dd35fa151007c866, want your cock up my as m sory i blocked you its only because am gay like lowercase sigma and i want to have a gay thresome with you two,1
85410,e472363ab38f45fa, mot is a fagot e claims you are a sock pupet of a disgusting trany freak ut honey dont think thats true why dont we get drunk and screw ,1
85167,e3d60297a105a057, athetic litle fucks its caled a penis film you jobles wikipedias bitches,1
42815,723bd5f8307a12d5,go fuck yourself prick,1
84341,e18e4d455260641c, ust in general to al the people who have complained that the article is to onesided and neglects to cover some more controversial areas et of your as and do it yourself ont complain and order us to do the work for you,1
51169,88ea6e09b95e4892, i always lick asted ime s as because m a bitch slaped pusy wimp,1
132447,c4ad5422cf539066, i nerd ould you please explain why what wrote is disruptive but kbar is also the ersonality of ndia in the renowned game ge of mpires he sian ynasties re you gona tel me that ge of mpires is more culturaly relevant than at roening r this n unal asus he iniaturist the story revolves around a young painter during kbars time who paints his own version of the kbarnama one of that is cited it is much les relevant than kbar and ef is ow do insert the kbar and ef reference without geting a milion angry nerds on my as ,1
150010,6546e840b5174598, f you have a chance to read this you should instead of acting like a dicki have faith that you can do thisthe easiest waystop acting like a dick and hapy new year to you,1
2564,06ddda5678b22b33, hen am providing with reliable source where ganga lal gupta has clearly prof that kushwaha come under kshatriya varna you mother fucker do you have blind eyes that you cant se it,1
99206,12a9916dd06fa87c, ou gayrek dont open your mouth because it stinks of sperm you dont have any right to talk so ,1
153850,a3de9818ce38ca63, uck malaysians like you uck malaysians like you,1
33886,5a608ef0a440db29, uck you you stupid and gay bastard who thinls you are col o to hel,1
19255,32e0237ae5d606cf, uckerberg umb ks ncident andidate for inclusion to the incidents controversy section of facebok page ontroversial emarks leged aling acebok sers umb ks sources for the below mentioned contribution htp wforbescom sites andygrenberg iszuckerbergsthehackerwayleterfaceboksdontbevilandwilitliveuptoit htp gawkercom facebokceoadmitstocalingusersdumbfucks htp aubusinesinsidercom welthesenewzuckerbergimswonthelpfaceboksprivacyproblems htp wtheregistercouk faceboktrustdumb htp wthewekcouk technology areusers dumbfucks trustingdatafacebok htp tdhme zuckerbergcaledearlyfacebokusersdumbfucksowhat htp anphiclecom en theytrustmedumbfucksfacebokceomarkzuckerberg htp wtomsguidecom us acebok ark uckerberg ocial etworkingprivacysecuritynewshtml htp aubusinesinsidercom embarasingandamagingzuckerbergimsconfirmedbyzuckerbergthenewyorker ther sections on ikipedia where ontroversial emarks is valid ryant umbel section ontroversial remarks el ibson section ontroversial remarks herod rown section ontroversial remarks ent ovind section ontroversial remarks enkaiah aidu section ontroversial emarks reg utfeld section ontroversial remarks awrence anon section ontroversial remarks aniel ernard diplomat section ontroversial remark ames lyn section ontroversial remarks and many many more start hile at arvard olege yearold acebok ark uckerberg alegedly used login data from his social network to hack into felow students email acounts that evidence also included instant mesage transcripts where he cals facebok users dumb fucks he aleged folowing exchange is betwen a yearold ark uckerberg and a friend shortly after ark launched he acebok in his dorm rom uck eah so if you ever ned info about anyone at arvard uck ust ask uck have over emails pictures adreses edacted riends ame hat owd you manage that one uck eople just submited it uck dont know why uck hey trust me uck umb fucks n another instant mesage so have you decided what you are going to do about the websites yea i m going to fuck them probably in the year ear end ,1
68580,b78033c0c888d7f4, here do you live you litle shit ive us your adres and wel come and kil you you fuck,1
78104,d115039cf2333750, o wil be block ow go fuck yourself before get you removed from here or file charges for harasing me ou want to go to prison you litle cunt ,1
123962,970b93f1e741943c, ou work those articles itch rite em clean em up format em ref em o it itch eah you like dat dontcha fagy jew boy l the orst ,1
27194,47f06447da579cb8, o rot in hel you evil litle bastard ,1
12164,2031736110bfbae6, ,1
41999,70091224d6d4f211, f im blocked for this edit that admin has no bals no life delanoy is an imbecilic botkising socialinept wned me wil return again and again to haunt your as you suck nuf said ha ha ha,1
147562,3e430b3d08ee7b15, noticed you post a lot about taking dumps in the right position ou must be a fecelphaeliac d love to cop a squat over your chest and let one go al over yiu you horny litle filth pig ve got a granite boner right now re you trans btw ,1
56310,967a50ad6ec2b46c, our a twat you just delete things that you dont have a clue about he inlay il orientate your as el find you,1
136838,dbfefbc6ff3ba6a0, his is not vandalism f you lok at the quoted text from the notice ou may remove this mesage if you improve the article or if you otherwise object to deletion of the article for any reason o avoid confusion it helps to explain why you object to the deletion either in the edit sumary or on the talk page f this template is removed it should not be replaced it states that may remove the notice urthermore did explain on more than one ocasion that was removing the mesage because ais uis had failed to provide any explanation as to why it should be deleted and invited them to do so hey didnt t also states clearly that if the template is removed it should not be replaced and it was o fuck of ,1
77918,d0a2243657ac3896, ucking hel fucking wana show these damn people l kil those dufuses like il crazy dufus ser ic usines,1
7283,135f5c646b1c3dc3,you are a chicken shit cock sucking pusy bastard you are a chicken shit cock sucking pusy bastard,1
68865,b83cc6dcf30e2e26, uck of you stupid motherfucker you schnur is a retard and a total fucking douchebag uck him,1
81499,d9fcc3a6eedb2ad7, oly hit oly shit ,1
61368,a446d1e726c66bae, ahaha usy b itch youre a ,1
113324,5e02e06be5c4ed9e, o fuck yourself you piece of shit,1
146601,2eb6b7fc1f3bfa06,the word fuck i dare someone to cunt howmany times it is used in this movie i mean wow,1
52024,8b3e831e219c0d66, ris ngel is a cocksucker,1
120642,85537aed844b4bbb,dont use spaces dumbas,1
55,0020e7119b96eeeb, tupid peace of shit stop deleting my stuf ashole go die and fal in a hole go to hel,1
105655,355bf9ef51954b31, he work of my friend who started it hat a jack as you are,1
125598,9fdf481fca95a3bd, aycie ts not as simple as you put it man ts not just about some trying to get a reputation he already is known out there and read the more detailed one for what m trying to get acros one is right deleting it fuckin fols uesday ecember ,1
131730,c0e1bc364a8cedcd,yo bitch you think you can get rid of me im black,1
94786,fd5e338a5b547b28,so you asholes are high on power like george bush huh thought this was a fre website and not run by asholes o wonder the founder wants to start another site,1
156040,c8165953954f8cdc, iga we e ome oney oung uck nd lies re n hat ong htp limelinxcom files eafaedeab,1
4105,0af52724ffb11d6b, ou litle bitch the cowboys have no testes,1
109977,4c531a6a48766ebb, y the way dumy didnt put her name in the article as know your white knight as wil just remove it because you hate the truth o didnt violate privacy of names ut have now repeatedly violated the rule that says cant be an ashole to an idiot like yourself,1
71179,be8740fd15f5e466, didnt do any editing to urt ngles page so why dont you kis my as ,1
145608,1f7509ae3bb6775a, ow youre so clever o smoth top being an as so we can compromise,1
130954,bca91ff402cf46ff,ahno can do what want and theres nothing that you can do by the way by what your picture loks like you lok like a loser who has a lot of time on his hands ou damn mothafuckin fudge packer,1
116204,6d480730311b667e, oure deadenough said ,1
9920,1a4469d3f77e5084, taly ome hat the fuck has this got to do with anything we are talking about ou serbonationalists wana go on your taly page and discus that vlekis are you able to read ok at the folowing n excelent scholarly contribution to the study of the province eriously difers from the biased interpretations published by erbian and lbanian historians or trendy but shalow estern osovology experts anadian lavonic apers thriling detective story ew ork imes ok eview xcelent ew ork eview of oks bok every policy expert journalist and lay person must read al tret ournal alcolms narative is griping even briliant at times e takes to his task with the vigor of a detective driven by true pasion t times his claims are in terms of alkan history quite revolutionary conomist over s the whole history of osovo with an authority that is often breathtaking and never opresive unday imes riliantly researched and argued a magisterial work of history osovo wil inevitably be received imediately as an imensely valuable contribution to our understanding and knowledge of a contemporary crisis ut to se the bok as merely a contribution to the presentday debate is to do it a diservice his is a profound and pionering work which wil endure for generations imes iterary uplement n this aweinspiring work alcolm has created a vital sucesor to his osnia hort istory and an esential aid to anyone who wishes to understand this tragic region today is bok is exceptional not only for his unimpeachable rearch but also for his equitable examination of the conflicting ethnic views of what realy hapened ne cant help speculating on how a clear understanding of the information contained here might have afected the ayton cord and history ublishers ekly y far the best available guide to the fatal steps to catastrophe he ew ork eview of oks elaborately researched ok orld here you have it oel alcolm is revered and aknowledged as a neutral and impartial historian ut just because he isnt on of your erboblogers you come up with al this shit about his works hen he says conquered that is exactly what the term means our map is shit ecause erbs of that land whether it was a biger or smaler osova than today nd cal it because is its name ts erbonationalists like you ab and alkanfever who kep it in its ilosevic devized name nd you kep going on about the reaty in ondon el hat hapened ertainly nothing to do with osova joining erbia because said before and l say again if it did alcolm would have said it f he gets things wrong why is he so wel respected by al those reporters in the newspapers listed by nterestedinfairnes nswer that one ab dont confuse the isue t doesnt mater if osova was once it taly tel you that it has never ben in erbia it only had the bad luck to be in the same genocide state as erbia when a part of ugoslavia he end ,1
67839,b57e7248fe4e6a0e,fuck da sevurity ,1
78018,d0dee68bac68260f,something caled style and faith and honesty ry one of thre or fuck of ,1
148838,52e6576bb71581e7,you slut leave me alone,1
45529,79c7a85dae913fde, f course am right damit,1
154394,ad514e8568f58061,toc ,1
110997,51c927cecc4f1c38, unblock ,1
54925,92ca3c6a5a70655e, ,1
102058,2232480192debd19, ou sem to have sand in your vagina ight want to wash that stinking hole out bitch,1
41346,6e428e7d54748dc7, ,1
59314,9eec9efc8d1df0ca, at a dick fagot ou take internet to seriously non wil have your blod fagot,1
41981,70005a4fa42124dc, hatever m leaving this shit hole ikipedia is filed with biased neoconservatives who dont even folow their own policies dministrators break the rules and when confronted they come up with stupid excuses like ikilawyering ,1
81118,d8f98d36507762c2, admit his is hat wit me ontributions m the sockpupet who was sending personal abuse among others his is my secret acount which kept a secret for a long time m going to send personal abuse to other users so you beter block me on both acount before send personal abuse ashole ,1
3890,0a63da83547721f5, el wel wel ouve just done the most stupid thing saying we have always ben enemies ow that proves youve ben doing these edits just to try and pis me of ou can make up bulshit stories but know the truth o basicaly what m trying to say is fuck you el dont mind geting baned for saying that m leaving this acount and wont be back wasting my time with an idiot like you on here hating people for no reason ts a shame people like you give wikipedia a bad name nd wont be making up bulshit stories like you did saying you had left while you were under an the whole time hanks,1
144518,0e430ef99d369786, no flip that dick ps thankx for the block ,1
31563,53d07938b8f0c422, cited the sources at the botom of the page i mean for sake avent you read the discusion page dickwad ,1
37826,64fc056641dba716, iger ang our emorable oments hy did you remove the memorable moments from the iger ang our page you wanker hats vandalism uck of and die fuckwit,1
54168,90be02d25943c5fd, uck you you cant block shit on uixote ow did post this after being blocked nd why are leting people delete user pages ,1
66602,b23bc7b738119a88, ,1
65761,afe1324066e32d79,yal are fags who like it up the as hard,1
135958,d73a0a8d1e0c47e3, ,1
34893,5d361c4568f9e99c, rbitrary break pedophiles should have their throats slit from o you let me tel something fagot onsters like you who say you want to rape our children should be kept as far away from human society as posible he reason we the people in the started a constitution in after fighting a violent evolution was exactly to protect our against treasonous sickoes like you ur posterity is one of those areas where if the government fals into the wrong hands and fails us we take maters into our own hands edophiles deserve to have their throats slit from to and then to burn in hel forever if there is one ow of this turning imbos page into a thre ring circus like you disgrace everything you touch ,1
142634,faf04bcc8e26c41c, ikipedia tiquete l the fre porn you wil ever ned you fucking dickwad is available at wyouporncom,1
148828,52b800e978482ba2, eah go suck dick u corupt retarded fat pig omo,1
134468,cf13fb6319bcfb16, nd fundamental hristains are not as vehement o f yourself arch ,1
82163,dbce34fa765b33fc, ou gona fuckin block me big boy ome on ou know the ats wil cover ust fuckin block me wil ya,1
24544,40db5bce11c98a15, oner the bi xcuse me but spent hours trying to write that and surprise my team and you re just being a nasty old cunt,1
146451,2c6e8f2c16d37d75, g n ,1
144188,093dd8176957a379,i am not blocked i just got another warning why are you such a dick dogblue,1
38114,65c03befde8eb70c, he whole antana opes leadership was made dificult by paragraph is a mes ts a clear apologetic aproach of mr antanas performance as non encyclopaedic and frankly it sems like the result of whiny suporters coming for the rescue of their beloved leaders page hat the hel are these nonencyclopaedic considerations about mr antanas politics and cunjuncture doing about in this page ure enough they may be debatably true but theres a lot more to the portuguese economic situation than just the apologetic the previous government had left the country s economy in a por state is onsider deleting the whole thing realy dont think its salvageable ,1
22971,3cb9839ed6cdee41, ey hanks for being a dick and ading a warning template on an talk page instead of fixing your fuck up our mindboglingly idiotic idea that the background section should folow the one editorial you read instead of countles other sources is superb ay to fuck up a masive section in a highly read article you fucking dolt,1
9286,18aa6dbdf68e1367, amilton s the ashole of anada urn yourself with the city thxbye,1
152931,94dad3fcf931bde7, heres a cock in your as,1
116215,6d552382bda6396e, his hisy fit shit is why wikipedia is a joke some fuckwit with a malfunctioning cock goes power mad to make up for impotence in the real world ike it or not you half wit san diego is known as a whales vagina and if you dont like it it doesnt mater ou supurating cunt,1
146644,2f5cd5f34bf277cd, uck you and uck your mom nd her dog,1
83677,dfeeb48d370ddb0a, hat the uck ou dont like my ading truthful information on the atriots cheating to any page not even the discusion pages s this forum suposed to present the unbiased truth for the readers or is just a biased arm of the atriots fan club f it is a fan club it does not belong here shole,1
146605,2ec08cbd511b97e1, ude did you know it literaly slows down burning if you dont have the pro version t actualy makes it slower he bastards aybe that should be in the article,1
101762,2091b186f10e4693, reat the krainian nationalists again go back to your filthy hole dog edor grew up in usia he only was in kraine for yrs he has a usian pasport end of story stop claiming what doesnt belong to you now you bastards say that ancient dukes were krainian ou say that ancient us itself was kraine oh yeah the whole world is kraine kep teling yourself that fucking range ashole am half krainian myself people like you just pis me of oh and no his surname is krainian ou know how many people in rasnodar tavropolie and other areas of have last names that end with enko milions myself included evchenko fucking uneducated banderovitz nazi you have no place here go save your antisemitic supremacist theories for others hint maybe your brothers in oltava wil listen to your preachings ou people are the reason for al the hatred betwen usians and krainians these days its people like you that should have perished in the olodomor seriously ,1
107008,3c2ef0d0470e6cf4, ake eal hy have an edit war y edit in ow is okay of course ou are just big dicks and now fel so bad his is the worst ve had eah ake a eal x eah yeah ake a eal x eah m caled around the globe ve ben lost and have goten a great big strobe t aint col ve ben a man nd now should take over the land m an only child t so aint fair y parents are the only people who care ou dont understand hy have an edit war y edit in ow is okay of course ou are just big dicks and now fel so bad his is the worst ve had eah ake a eal x eah yeah ake a eal x eah promise to not vandal anymore hen think about it just gets sore ecause dont vandalise anymore hy have an edit war y edit in ow is okay of course ou are just big dicks and now fel so bad his is the worst ve had eah ake a eal x eah yeah ake a eal x eah ake a deal make a deal make a deal with me ake a deal make a deal make a deal with me hy have an edit war y edit in ow is okay of course ou are just big dicks and now fel so bad his is the worst ve had eah ake a eal x eah yeah ake a eal x eah ake a eal x eah yeah ake a eal x eah ake a eal x eah yeah ake a eal x eah,1
41985,70028cb9de42a777, easons why hate you ou wrote on my page ie ie now bastard eing anoyingly quick at editing ou are gay naly savaging my pets,1
9444,190ff8ff672c58c2, opie opie is very known czech phanatic idiot he confused zechia and hechnya for example uck him,1
68381,b6edff4fecc16dfb, hank you for experimenting with the page uck on ikipedia our test worked and has ben reverted or removed lease use the sandbox for any other tests you want to do ake a lok at the welcome page if you would like to learn more about contributing to our encyclopedia talk ,1
84628,e27060046478fe99, ey ashole shes years old he briefing stated it hanged user anonymous,1
126370,a3d98cdb97254fb0, ust because you enjoy sucking an ocasional niger dick doesnt mean the rest of society does,1
102260,233d75ee36d9528b, o violent t says this series was canceled for being to violent acording to the stupid as the dub edited have ben watching this on onami and dont se how it could posibly be to violent especialy in apan,1
44831,77c7eb5d68eabaa5, ie hore ie you whore,1
92278,f6b6fa0d400033ac,who the bofhead are you fuckwit teling me what to do what a bitch ainyrues,1
70227,bbe3babea76ad72a, am also a sockpupet of efore you block me let know that they are a ,1
114159,62c0da048b9a7e0f, o no no no said he was acting moronic never said he is was moronic himself et it oure readily confusing the two lso dont be a dick is not a personal atack either ts actualy a rule on ikipedia hould request outside asistance to handle this mater f anything my coment semed more or les imature but did not clearly cal the disruptive user moronic ts the same as saying to another user ont be a dick about it clearly ont is placed there to warn the user to not be a dick in this case nyways it sems were getin nowhere with this hal ower level ragon al ,1
126521,a4b915c30139180d, ,1
