,id,comment_text,identity_hate
45277,79125b49903b5d37,the facts this is a blatant lie as proven here your coment dates from the last version containing non religious reasons for conversion to islam which was active around that time did not compare zakat to jizya anymore you have complained with a felow administrator in order to get me blocked because already several lies from your side have ben proven beyond doubt this does not surprise me at al people that reverted were mainly irishpunktom and you both known for their pro islamic pov and regularly coperating in edit waring also regarding several other articles such as apostacy and dhimi for instance in order to pres pro islamic pov al this indicates a cordinated campaign in order to pres islamist viewpoints prove it the fact is i have sources you don t even try to source your pov or and take resort to weasel wording instead i wil force you to source your statement in my next edit prove it i aded sources for every statement i inserted while you failed to do so i conclude that it is in wikipedia interest you to withdraw from administratorship talk contribs ,1
61885,a59a5cc770bc5beb,bible society i m fed up with catholics as you using wikipedia as proselytist media i wil write articles exposing cruel persecutiuon by catholics against bible societies ,1
133295,c92256c3bc16a062,your a fucking jew al jews do is wine wine wine al they want is money and power they hide there fucking jew gold and act por so they can get more money for the pusies who fel bad for por people,1
122518,8f6167f1036bded9,you fucking suck you shity jew ,1
105016,31ca6d8cf326b643,tbjablins coment above you dam nazi go suck a dildo,1
3620,09b51ed1ee5e29a1,mate sound like you are jewish gaynes is in the air,1
156522,cf7ed31e1940346a,i want to kick some beaner as i know theyre serving taco today mr flores is a piece of argentinian dog shit you pl eat dog right so makes sense you shit it flores is a cowardly excuse for a human being go brasilia dont cry for yourself argentina your history is ful of cowards and scumbags ,1
16828,2c62d986b5d08605,fuck you you re a fag,1
50317,8685e98b780e4874,rome is gay rome is gay i hate rome,1
62948,a8624eb37ecc1cb2,gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick,1
132163,c33d55d14b8dce15,you were right to replace the content shanghai pride is for fagots ,1
33200,5864d1bbd9f030d0,what go lick a pig you arab muslim peice of scum ,1
98459,0ea9e0766256152a,these blod thirsty liberal lynch mobs wanted to turn trayvon into another emet til no not kiding again they are so ful of intense hatred towards white people that when the perp turns out to not be white they make him white anyway lol,1
25656,43ecac01b27a4ba9, why do jews get their own special term for discrimination against them black people don t have anti ebonism native americans don t have anti nativism and arabs don t have anti arabism actualy since arabs are semites anti semitism is directed at them as wel the only thing this proves is that jews think they re special and exclusive and should get special treatment even though many ethno religious groups have sufered to the same or greater extent only the jews should get a special name for their type of sufering pretentious bastards ,1
12779,21e486704a89c686,sup niga i wuz jus chilin wit my og s on da west side niga yo jigabo blocked my cracka as da wu tang ain t nutin ta fuck wit biotch,1
102806,2625590fee14c640,nazis must be fought everytime ,1
63190,a91cec4f7a90ee63, why are you being so rude i only want to help you motherfuckers fuck retards you re such retards i hope you al die seriously die ,1
87784,eace0d42e24d0e7c,blow it out your as and as for you why are you always defending that punk i know that you nominated him for rfa so you are either an ignorant fol or his homosexual boyfriend fuck you ,1
95886,00d3977da5c49e6a,fucking fagot this guy is a total fucking fagot,1
94200,fbe654d10c394fb9,anti latino racist im gona get the aclu on you just because my skin is brown doesn t make racist wikipedians like you superior ,1
114503,6469e5ff1037c32c,dont you know most of the hongkongese dont apreciate of this chinese flag you dumbas japanese hong kong should be ruled by the hongkongese or the british or you retarded japanese should be ruled by the chinese ,1
88528,ecd27a2f7bc32d03,a mesage from jasonceyre f u ck you hoe,1
17594,2e8387477a929c3f,fuck of and rape your kids fenian bogtroting shit i hope the ones you love die in a cock acident trepens epichal helo fat ugly lonely smely litle boy only here can you conceit yourself human isn t that right chum only here can you pretend you re liked pretend you mean something pretend you have some value in the eyes of the world when realy you re a nothing i am very disapointed ,1
146183,2860b324f4f14387,april are you gay if you block or delete this of course then you are obviously homophobic ,1
132677,c5c9ec5ee44181cf,get of my fucking back you god damn litle indian retard get of my fucking back you god damn litle indian retard go and buly around someone else and you can shove up your spi up you indian as ,1
19029,323ea25513f54e6e,dude stop deleteing my posts some of them are true and you are being a fucker about it and dont you have some muslim stuf to do fuck of and let me edit my pages you dusche bag arab,1
33341,58da6f5c58ba57c1,american mouths are way to faster than american brain you americans ned to learn to listen if you truly want to get out of the mes you re in ,1
3008,081a5f7b052138cf,hey roy go fuk yourself you gay bich ya u heard me pusy,1
135706,d5c010fd53d9f21a,fucking virgin fuck go fuck yourself gek ps you have an average sized penis at best,1
27738,496f898364cafca0,i kil people fol im from the gheto homie i was raised on bread and balonie i hate nigers and im proud to jack of to your mom,1
95960,014ec6bcc72a28b8, that is not a insult that is a reality that link is a lint to a racist group and armenian grow up their children with racism they send their children to genocide camps and teach them how barbarian turks are making genocide if you dont believe me please ask an armenian user ,1
16254,2adc0c27c1165eef,to whoever said most people in arab are homosexuals or other bad things go to d n f in hel you motherf in d n son of a d n f ing c t of a b ch ,1
69622,ba3d70d27b64707c,i dont wikipedia sucks as pusy in the dick i dont give a pusy fuck about bitch niger ashole cock retyc,1
89677,efe99fac35b01d07,diana is a fucking bitch niger piece of shit,1
155840,c47353648be65580,bush nuke iran it is arabian gulf stupid persians i wana se britney spears ruling iran and i hope it wil be son inshalah we suport united states and israel against the terorist iranians who suport hizbolshaitan and many terorist groups and also we wana se the persians beg us for fod then they wil stop climing that the arabian gulf is persian ,1
155771,c35fa79b4feb3d92,and another thing stay of macedonians ethnic group i can t stand an uneducated pov pusher acting like an expert on another ethnic group we macedonians are slavs you bulgars are mongols therefore there is no conection get it yet shitbreath ,1
132020,c281fcf4a8504e9e, yes yes personal atacks reacting to homophobic atacks i am fairly proud about my behavior despite i am blocked lestrade is a genuine sily homophobe it s a fact ,1
157431,de004b9b12fa9a62,what a jew make real articles not stupid spedy dleteion you jew ,1
66302,b162128735275114,al right let s play by the rules then tel those fagots to stop fucking with my contributions then they don t use sources corectly they use them to amuse themselves subwayjack,1
50485,86fcab15fe4e36df,what i say niga stop changin shit ,1
130431,b9bea6ef4f852a73, a barnstar for you the real life barnstar gay gay gay ,1
116150,6d07c3c4e1c7b2f9,denis bratland is a homophob british bastard who dislikes germany a typicial british ashole with homophob thinking ,1
149311,5a79b88034831e3e,i was just indicating you fol stupid jew troutman ,1
54405,91604f361ffad491,cunt you re a fucking cunt and you re obviously jewish like al the rest ,1
89987,f0bf335ca4522653,the people of the philipines are unbelievably stupid this is a shit hole ,1
4267,0b649be53b494a8a,hold on ive got something to say to u fuk u yea thats right u r gay for revertin my edit you dumb fuk lol go fuk urself you gay cock licker haha,1
135025,d23cef3a79955a9f,ok your site already fucked so i cant fuck it up no more fuck as niga,1
86242,e6a551f670c58ded,btw i love to haras so try baning me for a year to stop me i wish zhanzhao die die die i wil rape you your mother and your gay friend s as nuf said,1
116553,6f0c4b9a1b4b6eae, also favonian is a super huge fagot ,1
45520,79c172b34ded866e,negroid hey niger lover why did you revert my contribution to the article negroid i have restored it lay of the niger cock you fagot ,1
39866,6a6c06ac54c01f31,lok here your a fuckin cunt you czeckoslovacian as clown,1
33886,5a608ef0a440db29,fuck you you stupid and gay bastard who thinls you are col go to hel ,1
36197,60b63ebc95f89abc,vandals should be waterboarded i hate them they are worse than dirty sicilians ,1
8417,165fe8bb208c44d0,now for the picture page to remain what do you ned remove on the pages two can you remove the fraud external links you make al nigerian lok like fraud or con artists this is my request ,1
61912,a5aef8658cc7cb6b, hey polish slavic monkeys you slavic monkeys can wright here al the shit what you want but al world knews what realy you are the trashy mutantes from lower dniepr your poland have no rights to exist it is only band of slavic trampes vilnietis ,1
158327,ec31b11dade69af2,check this out dumb mexican htp w ripofreport com reports htm,1
77300,cf1373c44bd3b2e2,nigerbals why did you delete the page you ashole ,1
27198,47f18388952e3ee7,white trash fuck of you white piece of trash fucking wigers go and fuck a jew jew raper ,1
10558,1bda6556be53dc55,oi ya fag stop deleting me post ya gay boi,1
119465,7ea9688bb4708224,mongo is a wanker mongo drinks semen while editing someone elses page that dick mongo is a homosexual crybaby mongo is a motherfcuker mongo gets anal and oral every night from a five year old pig wayward likes cocks wayward likes teth in his crust ,1
138247,e3ca88df1edf3e74, dont threaten me you litle fagot il come to your house and slit your mother s throat god knows if you are a wikipeida admin you stil live with her im going to sexualy abuse her after god day sir,1
47790,7fae6c5ce6325caa,info i aded some info to your user page baout your gay afair with american brit nad your large but if you dont mind just want to know is the sex betwen you and american brit god ,1
59521,9f6f16ac2b7e314e,so you are another vile litle englishman like fisk you europeans are evil pieces of shit and you fagots should be exterminated for what you have done to us ,1
117531,73f283c3ac033113,hey fagot you suck my huge dong,1
23222,3d5c3ff9e33d4a4e,he is in gay german nazi fagots please do not delete facts ,1
138531,e52a27f12870a370,first of al what the fuck does homosexuality have to do with anything are you seriously that homophobic ejaculation apeals to women to but you don t mention women that was highly fucking bizare secondly wikipedia is not censored and shouldn t be if your schol canot realize that wiki serves as an encyclopedia of sorts on the web then that s to bad i m sure if you aded some pictures that served as a purpose and backed them up there would be no problem and i highly doubt you ve done such things it just sems like you came here to rant about gay people and then make it sem like it al went together ,1
124173,982a0230dbfb3f80,helo hey ashole i kil you filthy muslim ,1
29260,4d92698b272b4cb8,lil fagit you are a litle bitch i fuckin spent hours on big sam raper an you cal it fuckin vandolism hard as aint you fuck you i m makin a true as page an you wack of an delete my page what the fuck is up your like a snitch but to yourself i l fuckin edit your bitch as page an delete that shit i l fuck up every single thing on your gay as website if you kep deletin my as wana talk to me im me at or email me at aol com,1
36027,604698a4c3bda97b,hamburger radio is a fucing f got,1
135954,d73516d5de7f7384,big i hate i hate i hate i hate i hate i hate i hate i hate hate i hate i hate i hate hate i hate i hate i hate hate i hate i hate i hate hate i hate i hate i hate hate i hate i hate i hate hate i hate i hate i hate hate i hate i hate i hate hate i hate i hate i hate hate i hate i hate i hate hate i hate i hate i hate hate i hate i hate i hate hate i hate i hate i hate hate i hate i hate i hate hate i hate i hate i hate hate i hate i hate ,1
86172,e68136ffec5485e7,i hat en wikipedia com al the people that work for this web page suck bals you mo fo s that cant get any girls so u go after men u homo s,1
116252,6d84ad02916a1563,hey your a gay niger mother fucking cunt,1
106767,3aff5ef1c02e0acf, i m sory but the fuck ups were a racist punk band their ep only featured a few tracks one of which white boy was a racist song it doesn t mater if people try to sugar coat that bands history or not lyrics like white boy can t you se you re a minority white boy shot and white boy kil can t be defended they wil remain on the list npov ,1
20350,35bbd476ec9fc78d,i ve found the cure the cure for gay peole is ,1
25540,439ede1396d0e7c6,get lost tomy u gay fucker,1
54147,90b1f6ee0ecf43ae,no thanks fagot i m fine right here but you might try going to hel you don t like to suck other people s penises yeah i had to be specific for you since you re so motherfucking retarded i gues you re not a homosexual after al wow never would ve thought ,1
218,008e0818dde894fb,kil al nigers i have hard that others have said this should this be included that racists sometimes say these ,1
38415,6690663772e66d43, gay ha i thought the same thing he might be this made my day hahaha tlk e m utc this user is homophobic ,1
117204,724ec747cf701f5a,question are you so mad because you are gay ,1
6212,1097ef7cb66eda8f,fuck your couch niger ,1
48621,8206f8ed88ba7e24, fuck you fuck you you re a stupid niger lover go fuck a dead mose the fortyfive ,1
86892,e865eceaaed61b43,please refrain from being gay on wikipedia as you did with this edit to the page the number twelve loks like you such edits constitute homosexuality and are reverted please do not continue to be gay use the sandbox for testing fuck you anyone who takes wikipedia seriously is a fucking tol there is a reason they don t alow you to source this in legitimate schols ,1
73969,c5ec883c21b95fda,fuck your life bitch i wasn t vandalizing anything i was responding to the idiotic coments made by one of your nazi staf ,1
30380,50a3200a4d579a64,i completely agre with gilabrand u guys are al anti israeli fucker why dont you and your anti semitic freinds fuck of so that we could show israel tyo what it realy is ,1
45404,7968051b27555373,secular humanism islam s best friend i know you guys want to bow before your islamic masters but you ned to calm down alah is with atheists and perhaps the muslims wil hang you last if you suport their want of khalifah death to atheism ,1
158951,f655cab24510295b,fuck you barack obama is a muslim he sucks as ,1
65075,ae1b1f693e4913b5,fagots yo fucker it was fucking hayes you fagot not vito vito wasnt with we in you fucking fag fag you arent right go fucking jump of a bridge you fag,1
115697,6abbd0de15e41341,nazi bastard i wil hang your corpse from a tre ,1
97506,09ae54f37e3d06b3,how s this awfuly sory to disagre with you old chum i have the upmost repect for you and your absurd opinions nice weather we re having is that a new tie it matches your eyes i apologise profusely for disagreing with you awfuly sory for the speling comrade but i fel the ned to expres an opinion to the efect of you are a christian and a friend of dwain s i am an atheist and an enemy of dwains abortion is god abortion is great the pope is a bastard bush is a dick catholicism is fake you are a catholic i am a socialist once again very sory sory if capitals sem frightening how s the wife ,1
25380,43330593d10e5dc6,fucking lying niger fes up you peice of ,1
116267,6d9628d6f80b7311,don t even start with me mr confused gender you and your criminal friends started this war and right now you are losing you mathew and your punk friends picked this fight when sorbs blocked my adres without reason then started slanderous material about me after you blocked me thats why sorbs us went up to fight sorbs ahbl spews and maps and your criminal activity so don t you even think you wil try to turn this around and make it lok like i started it this is a fre country that protects amendment rights from litle comies like you you are a sory pathetic foul litle quer creature who has no existance in today s world what makes you think you are even worthy to stand in the same place as steve linford with your pathetic litle pro spam rbl as for your extortionist friend mathew sulivan he wil be arested on sight should he ever come to the u s you and your extortionist spamer friends are treading on very thin ice in the legal system right now sorbs has blocked numerous valid systems as wel as being kicked from xo for aup violations but you don t want that known you prefer that people stay in the dark and not have aces to acurate information if i had the time i would list every valid system that sorbs has blocked and refused to remove as wel as list your criminal record on ahbl s wiki you have atempted to halt the flow of new information on wikipedia and have tried numerous censorship schemes not only to myself but many others as wel and it is going to stop your nazi dictatorship atitude won t get you far in this life litle man everyone has the right to edit wikipedia with acurate information if you have a problem with that take it up with wikipedia user oryhara so edit this post censor it i know you wil because you love censorship and hate the amendment you wil try to censor everyone that oposes you and your ideas i suposed you hate net neutrality as wel ,1
129761,b6239c96211f5445,steve you re a fucking idiot who should be bludgeoned to death with a piece of rusty rebar your devotion to this article is nothing short of sick when did you start beating women i wonder if you ever get laid it wil be a godam miracle of nature if you re not a virgin i m the fucking pope the very fact that you speculate on how pleasurable it would be to fuck the orifice of someone whom you are violently asaulting makes me so sick that i would derive great pleasure in watching you get tortured to death christ wikipedia neds fuckheads like you like it neds another vandals why don t you quit wikipedia and do your high schol homework instead you fucking retard ,1
67913,b5aa10cc92f3c95a,rat the smart sign the rest of yal fuck nigas,1
23397,3dcb0adda56673e2,pascal is a flaming homosexual he likes doing young boys in the anal hole and is a huge pedo him and michael should live together,1
148036,45c17f2236a49681,hi afghani begar refuge i love to suck the puti of ur ama ,1
32746,5725b0b12e1819f4,ungrateful monkey men how dare they take arms against the dutch and british who spent years trying to fre them from japanese tyrany and after turning their series of islands into a civlized society fuck em they should al be nuked ,1
22021,3a081c40f3dc127f,i am a fucking retarded niger,1
5824,0f90062f6a601734,muhamad was a murderer rapist thief slave trader warmonger and dirty pedophile islam nazi,1
133505,ca322730a9b08795,m yes a pint of palestinian blod would be a fine desert right now talk email,1
19045,3247e1f4ab2281cb,marcus qwertyus your a freking homosexual whats your adres you want to start something you litle fagot you suck your dady s dick ,1
58585,9cea83e3d52794c7,licking my as hahaha quit baning me you fagot ,1
106069,377c207d2b58f7b1,dick has gone limp from fucking hokers ,1
58564,9cd824d033bfdad8,your fucking face fagots,1
114981,66e56bd609a7ff9d,and his upcoming probably refers to his homosexuality ,1
157243,daf5329d788f31c3,you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you stupid niger you are a stinky face ,1
2374,0661f992b32b3351,fuck of nazi propaganda odpierdalcie sie jebani faszy ci od polski ,1
141374,f45beff5eba3597b,fuck you al antisemitic fagots ,1
19687,34012c52a20fcf36,your homosexuality why are you so fucking gay signed your parents also get ,1
63653,aa4e9dccafd7bf6a,cant block me niga,1
57260,99196b8cace7a049,i wil take god revenge on your bulshits stupid uneducated tletbrain i wil blow the hel out of you chinese stupid bulshit psychos,1
113581,5f5c40c08000f29c,hrm helo fagot ,1
47940,80189c7ba982df1a,okay that was gay like me absolutely uninformative gay like me im gay mutha fucka o i want sum cock as hairy im gay,1
42126,70660101f2ba447c,wel you know what you re a fagot to what are you gona do about it ya litle bitch ,1
49710,84ecf46c1f1a2488,the safavids were neither kurds nor georgians or persians they were pure turks descendants of the great hsuing nu and k k t rk empires al great empires in asia were turks turks were creators of culture and civilization these bastard and dirty iranians want to claim al turkic achievements while they opres milions of turks in their dirty country they even claim that the great turkish hero babek was persian while it is known to every scholar that even their king bahram chobin was an ethnic turk they even claim ibn sina and mevlana rumi although they to were pure turks these bastard iranians ned to be baned wikipedia is beter of without them these stinky idiots ,1
38514,66c7ad15b405ef2b,retard are you mentaly retarded user ugugugugugugug is my own acount you absolute jibering fol,1
16196,2ab93ab417c98437,prick hey ryan fuck you fagot how do you like those aples bitch ,1
105270,332d75516174c0d1,leave our country we don t want you arabs here ,1
106402,394313006b3e7e13,he s not an editor he s a niger,1
153931,a555ec0b45c8712c,you are a total fol joseph smith is the bigest fairy tale since santa claus mormonism is based on a lie its funy how many people are as stupid as you are by the way jesus is not real and never wil be you are wasting your life doing what you are doing because jesus ain t real jesus thinks you are dumb mormons are stupid and joseph smith played the greatest con on mankind ever you are a total mormon fol ,1
28267,4ad71cbf9936e12d,block me go right the fuck ahead fucking fascist cunt al of you are elitist snobs who don t give a shit about the facts you don t care about the truth you just report like litle tabloids you just lie ,1
73473,c4949f72aceb72ce,and who ever wrote this shyt bout this niga is a fuck niga to i dont give a shyt bout his midle name hoe,1
103484,29b98aa269c97fa6,regarding your sexuality is it true you iz a homo niga you is a skiny litle dork fuck aren t ya you have never had pusy have you boy never you is a niny is what you is one one niga bang blunts al day long son ,1
155858,c4c8d23afdfd4561,whops there was documentation for the samson analogy being wel received and it s very true despite the protestations of gay mafia who try to manipulate wiki articles in order to advance their propaganda machine i fought these nutcases toth and nail a few years ago only to be gamed or should i say gaymed haha by them these liberal lons use the rules of wiki to ostracize anyone who doesn t share their far left agenda it turns out that comparing lonie to samson was a compliment and not an atack on a dead gay man as some gay advocate so dramaticaly shocked haha sugested lonie was not gay he was a normal man who had ben raped as a young boy much like jery sandusky raped those litle boys in the pen state shower this of course led lonie to engage in other gay activities despite his beter judgement the man himself did not want to practice homosexuality but because of some gay pedophile he had his strugles ,1
48385,8157a0db7a44a9e5,your a fucking fagot you internet thug get of federlines nuts,1
123965,97114d4e03ea161f,a mesage to you shaded hi n ger ,1
35020,5d862ea3d572b187,why is your dick so smal is it because you are asian ,1
13869,249a9de30b187c87,you dumb as why the fuck would you delete the trajectories on the b day page you fuckin retarted bitch it s more informal and now lok at how smal the page is you whore you probaly get fucked by ur dad everyday you whore slut bag ,1
39282,68d363c004c90136,and are two homosexuals who worship the penis of jesus and believe that he was the greatest bastard in the world ,1
